generation,best,mean,median,mean_hidden,max_hidden,elapsed_s,time_budget_s,device
0,500.0,110.3125,29.5,0.0,0,1.28,6.0,cuda
1,178.0,80.8125,74.5,0.312,1,2.613,6.0,cuda
2,181.0,94.5625,101.0,0.5,1,2.902,6.0,cuda
3,272.0,162.625,152.5,0.812,2,3.213,6.0,cuda
4,327.0,206.9375,189.5,1.188,2,3.508,6.0,cuda
5,378.0,231.25,217.0,1.125,2,3.792,6.0,cuda
6,500.0,316.125,287.5,2.125,3,4.076,6.0,cuda
7,500.0,406.5625,403.0,2.125,3,4.364,6.0,cuda
8,500.0,453.6875,485.5,2.188,3,4.648,6.0,cuda
9,500.0,481.0625,500.0,2.062,3,4.934,6.0,cuda
10,500.0,492.3125,500.0,2.0,3,5.208,6.0,cuda
11,500.0,461.0,500.0,2.125,3,5.491,6.0,cuda
12,500.0,493.875,500.0,2.188,3,5.779,6.0,cuda
13,385.0,361.5,385.0,2.375,4,6.001,6.0,cuda
