generation,best,mean,median,elapsed_s,time_budget_s,device,population_size,hidden_size
0,247.3333,19.8542,9.6667,1.887,8.0,cuda,64,32
1,460.3333,82.8802,53.6667,2.495,8.0,cuda,64,32
2,500.0,304.4531,268.8333,2.929,8.0,cuda,64,32
3,500.0,362.9896,407.6667,3.343,8.0,cuda,64,32
4,500.0,360.5208,428.1667,3.757,8.0,cuda,64,32
5,500.0,385.8854,427.8333,4.178,8.0,cuda,64,32
6,500.0,378.5208,491.3333,4.605,8.0,cuda,64,32
7,500.0,423.9896,500.0,5.021,8.0,cuda,64,32
8,500.0,408.6458,500.0,5.436,8.0,cuda,64,32
9,500.0,423.0625,500.0,5.907,8.0,cuda,64,32
10,500.0,377.3281,491.0,6.401,8.0,cuda,64,32
11,500.0,403.3698,500.0,6.822,8.0,cuda,64,32
12,500.0,419.375,500.0,7.24,8.0,cuda,64,32
13,500.0,395.5573,500.0,7.666,8.0,cuda,64,32
14,417.3333,336.8333,417.3333,8.014,8.0,cuda,64,32
